Dependent	Source	DF	SS	MS	FValue	ProbF
fac2	Model	1	14487.0187	14487.0187	165.33	<.0001
fac2	Error	3998	350324.0290	87.6248	_	_
fac2	Corrected Total	3999	364811.0478	_	_	_
