Dependent	Source	DF	SS	MS	FValue	ProbF
fac1	Model	3	304873.7428	101624.5809	1551.62	<.0001
fac1	Error	3996	261721.1050	65.4958	_	_
fac1	Corrected Total	3999	566594.8478	_	_	_
