_NAME_	COMMUNAL
v000015	0
v000022	0
v000028	0
v000029	0
v000035	0
v000039	0
v000042	0
v000046	0
v000049	0
v000054	0
v000055	0
v000076	0
v000086	0
v000096	0
v000098	0
v000102	0
v000108	0
v000113	0
v000130	0
v000140	0
v000216	0
v000290	0
v000291	0
v000292	0
v000311	0
v000323	0
v000352	0
v000355	0
v000371	0
v000383	0
v000423	0
v000424	0
v000426	0
v000443	0
v000445	0
v000448	0
v000449	0
v000450	0
v000454	0
v000455	0
v000457	0
v000462	0
v000494	0
v000529	0
v000556	0
v000562	0
v000566	0
v000569	0
v000574	0
v000577	0
v000594	0
v000601	0
v000613	0
v000617	0
v000623	0
v000712	0
v000725	0
v000736	0
v000761	0
v000794	0
v000813	0
v000849	0
v000850	0
v000868	0
v000902	0
v000903	0
v000913	0
v000916	0
v000959	0
v000966	0
v000968	0
v000273	0.2988348532
v000718	0.3443275548
v000472	0.348656726
v000731	0.3520088508
v000447	0.3551861927
v000790	0.3738108623
v000109	0.3883903673
v000845	0.3918629719
v000341	0.3920772253
v000310	0.3928214245
v000163	0.4021034994
v000714	0.4033105874
v000392	0.4065377539
v000609	0.4198965911
v000638	0.4233535947
v000774	0.4375284134
v000125	0.4402514223
v000532	0.44647523
v000375	0.4471941376
v000688	0.4486603321
v000396	0.4493465489
v000473	0.4497769512
v000764	0.451939251
v000293	0.4530163875
v000007	0.4641488224
v000132	0.4651404061
v000484	0.4652900019
v000008	0.4655346036
v000816	0.4675661205
v000702	0.4707673963
v000373	0.4712812375
v000345	0.4847005424
v000010	0.4883023798
v000873	0.4933586701
v000297	0.493949107
v000005	0.4990601375
v000425	0.4997144376
v000727	0.5024878353
v000663	0.5076382671
v000715	0.5077005073
v000689	0.508631631
v000549	0.5088203446
v000876	0.5101492979
v000604	0.5111833831
v000512	0.5139674305
v000327	0.5140984649
v000003	0.51450851
v000654	0.5148417353
v000807	0.5158400879
v000575	0.5170984605
v000188	0.5184985976
v000418	0.520659972
v000053	0.5210335091
v000370	0.5210437444
v000631	0.5228427165
v000880	0.5236665974
v000651	0.5246858875
v000478	0.5250736228
v000059	0.5257283971
v000278	0.5261905935
v000641	0.5271060685
v000215	0.5273927248
v000542	0.5285702921
v000898	0.5309997516
v000726	0.5314746424
v000225	0.5316496408
v000372	0.5336408469
v000771	0.5337466304
v000168	0.5339581781
v000422	0.5353421092
v000217	0.5353933764
v000294	0.5380598565
v000110	0.5393756294
v000927	0.539650749
v000379	0.5396600992
v000564	0.5399095264
v000487	0.5413802645
v000205	0.541644039
v000429	0.545195032
v000486	0.5452597083
v000678	0.5454456013
v000385	0.5455985113
v000381	0.5471748311
v000914	0.5472245989
v000610	0.5487890222
v000550	0.5491785388
v000353	0.5498310123
v000785	0.5501231619
v000777	0.5514850491
v000947	0.5517140354
v000401	0.551792006
v000078	0.5526158025
v000099	0.5529516239
v000697	0.5531114705
v000811	0.5533436832
v000630	0.5536821899
v000404	0.5548316879
v000940	0.5557573381
v000515	0.5583690357
v000284	0.5619517092
v000202	0.56209654
v000555	0.5635311603
v000439	0.5640262101
v000585	0.5651811204
v000120	0.5659399657
v000111	0.5667551537
v000742	0.5682453946
v000230	0.5701360185
v000480	0.570283777
v000662	0.5703248329
v000559	0.5705097735
v000705	0.5713541999
v000692	0.5737534121
v000713	0.5741072429
v000464	0.5742042021
v000938	0.5743801126
v000134	0.5753316227
v000658	0.5767067703
v000671	0.5770012958
v000552	0.5783140018
v000384	0.578729728
v000030	0.5790094437
v000632	0.5799347214
v000402	0.5823568565
v000545	0.5829217962
v000819	0.5848432633
v000038	0.5848617264
v000573	0.5849393392
v000283	0.5871376841
v000080	0.5873953694
v000772	0.5881662223
v000521	0.5897392925
v000513	0.5908091097
v000348	0.5912036348
v000711	0.5934188725
v000156	0.5955663105
v000133	0.5957274382
v000427	0.5959603935
v000251	0.5960115126
v000495	0.5975267111
v000856	0.5978274989
v000363	0.599370215
v000557	0.599882462
v000296	0.6006377129
v000071	0.601356681
v000524	0.601626199
v000041	0.6029769376
v000957	0.6039133149
v000485	0.6047274859
v000271	0.6052439234
v000760	0.6056717974
v000391	0.6065670294
v000395	0.607196738
v000653	0.6081381145
v000496	0.6101001682
v000519	0.6107992458
v000680	0.6125698432
v000144	0.6128683868
v000302	0.6129952802
v000210	0.6138095328
v000937	0.6143119049
v000690	0.6153335324
v000390	0.6168287667
v000720	0.6195057595
v000186	0.6202756651
v000213	0.6202780946
v000875	0.6203270521
v000317	0.6212486843
v000164	0.6231954607
v000645	0.6240779686
v000633	0.6250942655
v000469	0.6252965475
v000089	0.6260379589
v000403	0.6263023318
v000700	0.6263471328
v000498	0.6273233787
v000860	0.6295011159
v000831	0.6300545343
v000915	0.6353606707
v000139	0.6371070456
v000514	0.6376510302
v000185	0.6381929235
v000121	0.6393534215
v000236	0.6414121695
v000674	0.6419986295
v000466	0.643960056
v000322	0.6443279939
v000810	0.6455454428
v000232	0.6461351817
v000460	0.6463771269
v000107	0.6494928526
v000377	0.6496842868
v000646	0.6497090028
v000437	0.6524201523
v000021	0.6524515873
v000198	0.6528173613
v000009	0.655986679
v000481	0.6568421946
v000313	0.6568725758
v000960	0.6596603503
v000588	0.6598883424
v000822	0.6600875752
