_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,loaded,factor,pole
v000001,0.153475297,0.2542484029,0.2468885361,0.0513098217,-0.047846327,0.0514261575,0.1669076247,0,,
v000002,0.0628754828,0.1139462176,-0.123127651,0.1585098109,0.211120763,0.5350362981,-0.129468715,1,fac6,1
v000003,0.2142184394,0.281056737,0.0550611756,-0.138668848,0.1038754272,0.1251248786,0.0875738819,0,,
v000004,-0.158093549,0.1683180837,0.2568373185,0.1134064399,0.0626291187,0.0913293185,0.3541870353,1,fac7,1
v000005,0.2019674379,0.1656135304,0.1437467064,0.0133005609,0.0265312582,0.192665184,0.1200807732,0,,
v000006,-0.145301474,0.3645257064,-0.167597083,-0.048579634,0.1266811255,0.308952127,0.0652057591,1,fac2,1
v000007,0.2339775854,0.2983051172,0.0189088591,0.0217412689,0.0056530283,0.1473444366,0.103323728,0,,
v000008,0.1935027643,0.1708523949,-0.027637396,-0.17239422,-0.023709667,0.1362491541,-0.013064226,0,,
v000009,0.4306284168,0.1075693228,-0.154314528,-0.062491824,-0.12476081,0.06289751,0.0124780921,1,fac1,1
v000010,0.0953438227,0.0484771043,0.1408263996,0.3066346288,-0.093296209,0.2701070806,-0.009311461,1,fac4,1
v000011,-0.092185853,0.3842069451,-0.028996549,0.1521436282,-0.151969266,0.3641052609,-0.24314839,1,fac2,1
v000012,0.3380098869,-0.050314014,0.1524069649,-0.042351564,0.1725401386,0.2493027269,0.2626417402,1,fac1,1
v000013,-0.064207272,-0.241019212,0.3404965461,-0.257174423,-0.251544218,0.6302063219,0.199109225,1,fac6,1
v000014,0.1775848441,0.0506765682,0.0060289039,-0.089767656,-0.061304279,0.0271050406,-0.093880347,0,,
v000016,0.4950358053,0.1292177716,0.1137821619,-0.043142911,-0.026343933,-0.082488364,0.1455971341,1,fac1,1
v000017,0.1378599337,-0.082522859,0.196884091,0.118202978,-0.05013999,0.5531201509,0.0218850822,1,fac6,1
v000018,0.0779949553,0.214124958,0.1643360839,-0.18909394,-0.010858086,0.4253241383,-0.015775748,1,fac6,1
v000019,-0.012354241,0.0981176088,0.2313437222,0.134290474,-0.045087423,0.303545858,-0.15348536,1,fac6,1
v000020,-0.054591039,0.1776127245,0.3822361409,-0.093019707,0.078541027,0.1933882947,0.0248672946,1,fac3,1
v000021,0.1958061041,0.1231304883,0.2510318778,-0.212519636,0.0860538203,-0.057545359,0.4041951966,1,fac7,1
v000023,0.2008065613,0.3859005505,-0.130634437,0.0385403743,-0.247059365,-0.308829506,-0.36363036,1,fac2,1
v000024,0.1867597781,0.2691936197,-0.029089884,0.1314548679,-0.025056787,0.2253344885,0.0074941247,0,,
v000025,0.0101689318,0.2511033613,0.1705019235,-0.181330182,0.4513954883,-0.110970442,-0.023827652,1,fac5,1
v000026,-1.232425947,-0.872719336,1.2705378018,-0.33282948,-0.500507975,-0.903930301,-0.193331706,1,fac3,1
v000027,0.0242114935,0.2376069052,0.0850007498,-0.084536964,0.0678166514,0.0470941435,-0.008648133,0,,
v000030,0.0783602682,-0.131719162,0.4436081275,0.0803900535,0.2144690377,0.0790395028,0.2145175208,1,fac3,1
v000031,0.2150979931,0.0307376141,0.529503409,0.1426518636,-0.071041211,0.1243274213,-0.074851401,1,fac3,1
v000032,0.141589986,-0.036712207,0.2100971376,0.4023760966,0.0587208497,0.1302142587,-0.000550763,1,fac4,1
v000033,-0.090530063,-0.22324106,0.1947009226,-0.179647052,0.5719337538,0.0466199861,-0.253879412,1,fac5,1
v000034,0.4433951686,0.1345041845,0.2649133468,0.0388797127,0.1386590002,0.0761104926,-0.06651082,1,fac1,1
v000036,0.486440516,-0.010579614,0.1315297861,0.0175697072,0.2027845089,0.1270013563,-0.06418372,1,fac1,1
