Dependent	Source	DF	SS	MS	FValue	ProbF
fac4	Model	1	11036.1720	11036.1720	401.34	<.0001
fac4	Error	3998	109938.3720	27.4983	_	_
fac4	Corrected Total	3999	120974.5440	_	_	_
