Dependent	Source	DF	SS	MS	FValue	ProbF
fac3	Model	1	42903.0083	42903.0083	798.11	<.0001
fac3	Error	3998	214914.5027	53.7555	_	_
fac3	Corrected Total	3999	257817.5110	_	_	_
