Dependent	Source	DF	SS	MS	FValue	ProbF
fac7	Model	3	5952.04200	1984.01400	260.08	<.0001
fac7	Error	3996	30483.62200	7.62853	_	_
fac7	Corrected Total	3999	36435.66400	_	_	_
