lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
thing 302 81 302.0 27.0 95.75 488.73 167.17 POSKW
year 759 700 759.0 233.33 364.75 486.93 105.95 POSKW
news 183 25 183.0 8.33 52.0 368.97 182.58 POSKW
lot 168 16 168.0 5.33 46.0 366.28 187.69 POSKW
campaigner 274 120 274.0 40.0 98.5 344.36 149.04 POSKW
week 244 99 244.0 33.0 85.75 321.24 152.35 POSKW
international 314 185 314.0 61.67 124.75 319.0 134.34 POSKW
fact 197 58 197.0 19.33 63.75 306.12 164.25 POSKW
day 430 374 430.0 124.67 201.0 296.72 110.1 POSKW
way 558 594 558.0 198.0 288.0 292.98 95.24 POSKW
organisation 171 42 171.0 14.0 53.25 286.78 169.73 POSKW
month 235 113 235.0 37.67 87.0 277.84 144.74 POSKW
thousand 209 96 209.0 32.0 76.25 254.77 146.89 POSKW
time 627 821 627.0 273.67 362.0 229.5 78.46 POSKW
world 804 1181 804.0 393.67 496.25 228.91 68.52 POSKW
state 241 163 241.0 54.33 101.0 217.07 126.41 POSKW
number 216 129 216.0 43.0 86.25 217.01 133.59 POSKW
communications 91 5 91.0 1.67 24.0 215.9 192.81 POSKW
today 293 241 293.0 80.33 133.5 215.82 113.93 POSKW
hundred 137 41 137.0 13.67 44.5 211.31 163.72 POSKW
friend 147 56 147.0 18.67 50.75 200.66 154.93 POSKW
country 450 535 450.0 178.33 246.25 197.33 86.47 POSKW
order 125 39 125.0 13.0 41.0 189.09 162.32 POSKW
reason 138 54 138.0 18.0 48.0 185.54 153.85 POSKW
something 172 101 172.0 33.67 68.25 175.22 134.52 POSKW
environment 385 449 385.0 149.67 208.5 174.53 88.03 POSKW
member 163 91 163.0 30.33 63.5 172.86 137.24 POSKW
university 107 29 107.0 9.67 34.0 172.4 166.86 POSKW
us 182 117 182.0 39.0 74.75 171.67 129.41 POSKW
part 461 620 461.0 206.67 270.25 159.78 76.19 POSKW
everything 140 73 140.0 24.33 53.25 156.32 140.77 POSKW
research 178 124 178.0 41.33 75.5 155.91 124.62 POSKW
asia 162 102 162.0 34.0 66.0 155.62 130.61 POSKW
effect 176 122 176.0 40.67 74.5 154.89 124.92 POSKW
end 239 220 239.0 73.33 114.75 153.71 106.08 POSKW
hand 146 86 146.0 28.67 58.0 148.35 134.35 POSKW
society 228 210 228.0 70.0 109.5 146.52 106.04 POSKW
group 281 301 281.0 100.33 145.5 146.15 94.76 POSKW
scientist 208 179 208.0 59.67 96.75 145.37 110.83 POSKW
nothing 107 43 107.0 14.33 37.5 141.67 152.75 POSKW
politician 117 55 117.0 18.33 43.0 140.46 145.81 POSKW
man 83 20 83.0 6.67 25.75 140.23 170.26 POSKW
home 340 421 340.0 140.33 190.25 138.58 83.14 POSKW
director 95 32 95.0 10.67 31.75 138.43 159.62 POSKW
human 152 102 152.0 34.0 63.5 137.91 126.88 POSKW
mind 90 28 90.0 9.33 29.5 136.33 162.42 POSKW
uk 137 83 137.0 27.67 55.0 136.01 132.79 POSKW
