Right	RB	right
now	RB	now
,	,	,
people	NNS	people
are	VBP	be
going	VBG	go
on	IN	on
Facebook	NP	<unknown>
to	TO	to
check	VB	check
in	IN	in
to	TO	to
the	DT	the
Weddell	NP	Weddell
Sea	NP	Sea
in	IN	in
the	DT	the
Antarctic	NP	Antarctic
to	TO	to
tell	VB	tell
their	PP$	their
friends	NNS	friend
just	RB	just
how	WRB	how
incredible	JJ	incredible
and	CC	and
precious	JJ	precious
this	DT	this
part	NN	part
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
and	CC	and
why	WRB	why
this	DT	this
vast	JJ	vast
area	NN	area
needs	VBZ	need
protecting	VBG	protect
.	SENT	.
That	DT	that
’s	VBZ	be
it	PP	it
,	,	,
you	PP	you
’ve	VBP	have
joined	VBN	join
loads	NNS	load
of	IN	of
other	JJ	other
people	NNS	people
from	IN	from
around	IN	around
the	DT	the
globe	NN	globe
to	TO	to
show	VB	show
the	DT	the
world	NN	world
why	WRB	why
the	DT	the
Antarctic	JJ	Antarctic
needs	NNS	need
protecting	VBG	protect
.	SENT	.
Thank	VB	thank
you	PP	you
!	SENT	!
Aakash	NP	<unknown>
Naik	NP	Naik
is	VBZ	be
a	DT	a
digital	JJ	digital
campaigner	NN	campaigner
for	IN	for
the	DT	the
Antarctic	JJ	Antarctic
Chances	NNS	chance
are	VBP	be
,	,	,
when	WRB	when
you	PP	you
usually	RB	usually
scroll	VBP	scroll
through	IN	through
Facebook	NN	<unknown>
,	,	,
you	PP	you
’ll	RB	<unknown>
see	VBP	see
a	DT	a
friend	NN	friend
checking	VBG	check
in	IN	in
to	TO	to
a	DT	a
hotel	NN	hotel
to	TO	to
brag	VB	brag
about	IN	about
their	PP$	their
holiday	NN	holiday
,	,	,
or	CC	or
a	DT	a
family	NN	family
member	NN	member
checking	VBG	check
in	IN	in
to	TO	to
a	DT	a
fancy	JJ	fancy
restaurant	NN	restaurant
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
we	PP	we
use	VBP	use
it	PP	it
to	TO	to
highlight	VB	highlight
a	DT	a
place	NN	place
that	IN	that
most	JJS	most
